"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
Greenwich Village,Non-Citizens,2007,Percent,0.12551,102
Tottenville,Non-Citizens,2007,Percent,0.04038,503
South Beach,Non-Citizens,2007,Percent,0.08101,502
St. George,Non-Citizens,2007,Percent,0.11402,501
Williamsburg/Greenpoint,Non-Citizens,2007,Percent,0.16494,301
Bushwick,Non-Citizens,2007,Percent,0.25924,304
Bedford Stuyvesant,Non-Citizens,2007,Percent,0.09995,303
Fort Greene/Brooklyn Hts,Non-Citizens,2007,Percent,0.11114,302
Park Slope,Non-Citizens,2007,Percent,0.07306,306
Crown Heights North,Non-Citizens,2007,Percent,0.17095,308
Brownsville,Non-Citizens,2007,Percent,0.10247,316
East New York,Non-Citizens,2007,Percent,0.10588,305
Canarsie,Non-Citizens,2007,Percent,0.11728,318
East Flatbush,Non-Citizens,2007,Percent,0.18717,317
Crown Heights South,Non-Citizens,2007,Percent,0.19938,309
Sunset Park,Non-Citizens,2007,Percent,0.29212,307
Bay Ridge,Non-Citizens,2007,Percent,0.13269,310
Borough Park,Non-Citizens,2007,Percent,0.15144,312
Flatbush/Midwood,Non-Citizens,2007,Percent,0.17142,314
Sheepshead Bay,Non-Citizens,2007,Percent,0.15995,315
Bensonhurst,Non-Citizens,2007,Percent,0.21421,311
Coney Island,Non-Citizens,2007,Percent,0.13423,313
Astoria,Non-Citizens,2007,Percent,0.22498,401
Jackson Heights,Non-Citizens,2007,Percent,0.37289,403
Flushing,Non-Citizens,2007,Percent,0.24771,407
Bayside,Non-Citizens,2007,Percent,0.14494,411
Queens Village,Non-Citizens,2007,Percent,0.14903,413
Fresh Meadows/Briarwood,Non-Citizens,2007,Percent,0.1762,408
Elmhurst/Corona,Non-Citizens,2007,Percent,0.37441,404
Rego Park/Forest Hills,Non-Citizens,2007,Percent,0.19249,406
Sunnyside/Woodside,Non-Citizens,2007,Percent,0.3302,402
Ridgewood/Glendale,Non-Citizens,2007,Percent,0.17246,405
Woodhaven,Non-Citizens,2007,Percent,0.25414,409
Jamaica/St. Albans,Non-Citizens,2007,Percent,0.18244,412
Howard Beach,Non-Citizens,2007,Percent,0.2051,410
The Rockaways,Non-Citizens,2007,Percent,0.11596,414
Bronx,Non-Citizens,2007,Percent,0.1829,36005
Brooklyn,Non-Citizens,2007,Percent,0.15987,36047
Manhattan,Non-Citizens,2007,Percent,0.162,36061
Queens,Non-Citizens,2007,Percent,0.22554,36081
Staten Island,Non-Citizens,2007,Percent,0.07966,36085
New York City,Non-Citizens,2007,Percent,0.17746,3651000
Riverdale,Native Citizen,2008,Number,81243,208
Williamsbridge,Native Citizen,2008,Number,88489,212
Throgs Neck,Native Citizen,2008,Number,95858,210
Pelham Parkway,Native Citizen,2008,Number,86392,211
Morrisania,Native Citizen,2008,Number,54333.85679,203
East Tremont,Native Citizen,2008,Number,56722.14321,206
Bedford Park,Native Citizen,2008,Number,72802,207
University Heights,Native Citizen,2008,Number,76935,205
Concourse/Highbridge,Native Citizen,2008,Number,83090,204
Unionport/Soundview,Native Citizen,2008,Number,130850,209
Mott Haven,Native Citizen,2008,Number,69948.48674,201
Hunts Point,Native Citizen,2008,Number,39941.51326,202
Washington Heights,Native Citizen,2008,Number,103671,112
Manhattanville,Native Citizen,2008,Number,81780,109
Central Harlem,Native Citizen,2008,Number,100122,110
East Harlem,Native Citizen,2008,Number,95054,111
Upper East Side,Native Citizen,2008,Number,178593,108
Upper West Side,Native Citizen,2008,Number,162417,107
Chelsea/Clinton,Native Citizen,2008,Number,74850.92555,104
Midtown Business District,Native Citizen,2008,Number,37462.07445,105
Murray Hill/Stuyvesant,Native Citizen,2008,Number,115322,106
Lower East Side,Native Citizen,2008,Number,109341,103
Battery Park/Tribeca,Native Citizen,2008,Number,47334.94283,101
Greenwich Village,Native Citizen,2008,Number,69876.05717,102
Tottenville,Native Citizen,2008,Number,146800,503
South Beach,Native Citizen,2008,Number,103871,502
St. George,Native Citizen,2008,Number,134510,501
Williamsburg/Greenpoint,Native Citizen,2008,Number,112977,301
Bushwick,Native Citizen,2008,Number,79123,304
Bedford Stuyvesant,Native Citizen,2008,Number,113931,303
Fort Greene/Brooklyn Hts,Native Citizen,2008,Number,95918,302
Park Slope,Native Citizen,2008,Number,100317,306
Crown Heights North,Native Citizen,2008,Number,83335,308
Brownsville,Native Citizen,2008,Number,84950,316
East New York,Native Citizen,2008,Number,101167,305
Canarsie,Native Citizen,2008,Number,126527,318
East Flatbush,Native Citizen,2008,Number,68784,317
Crown Heights South,Native Citizen,2008,Number,61716,309
Sunset Park,Native Citizen,2008,Number,82034,307
Bay Ridge,Native Citizen,2008,Number,77321,310
Borough Park,Native Citizen,2008,Number,111262,312
Flatbush/Midwood,Native Citizen,2008,Number,96007,314
Sheepshead Bay,Native Citizen,2008,Number,79510,315
Bensonhurst,Native Citizen,2008,Number,90854,311
Coney Island,Native Citizen,2008,Number,53130,313
Astoria,Native Citizen,2008,Number,102902,401
Jackson Heights,Native Citizen,2008,Number,71114,403
Flushing,Native Citizen,2008,Number,121625,407
Bayside,Native Citizen,2008,Number,76961,411
Queens Village,Native Citizen,2008,Number,120460,413
Fresh Meadows/Briarwood,Native Citizen,2008,Number,80666,408
Elmhurst/Corona,Native Citizen,2008,Number,46422,404
Rego Park/Forest Hills,Native Citizen,2008,Number,58295,406
Sunnyside/Woodside,Native Citizen,2008,Number,52396,402
Ridgewood/Glendale,Native Citizen,2008,Number,107415,405
Woodhaven,Native Citizen,2008,Number,73648,409
Jamaica/St. Albans,Native Citizen,2008,Number,128858,412
Howard Beach,Native Citizen,2008,Number,75920,410
The Rockaways,Native Citizen,2008,Number,89739,414
Bronx,Native Citizen,2008,Number,936605,36005
Brooklyn,Native Citizen,2008,Number,1618863,36047
Manhattan,Native Citizen,2008,Number,1175824,36061
Queens,Native Citizen,2008,Number,1206421,36081
Staten Island,Native Citizen,2008,Number,385181,36085
New York City,Native Citizen,2008,Number,5322894,3651000
Riverdale,Native Citizen,2008,Percent,0.6601,208
Williamsbridge,Native Citizen,2008,Percent,0.60807,212
Throgs Neck,Native Citizen,2008,Percent,0.82146,210
Pelham Parkway,Native Citizen,2008,Percent,0.66192,211
Morrisania,Native Citizen,2008,Percent,0.72623,203
East Tremont,Native Citizen,2008,Percent,0.72623,206
Bedford Park,Native Citizen,2008,Percent,0.59322,207
University Heights,Native Citizen,2008,Percent,0.61064,205
Concourse/Highbridge,Native Citizen,2008,Percent,0.59929,204
Unionport/Soundview,Native Citizen,2008,Percent,0.71302,209
Mott Haven,Native Citizen,2008,Percent,0.72156,201
Hunts Point,Native Citizen,2008,Percent,0.72156,202
Washington Heights,Native Citizen,2008,Percent,0.51009,112
Manhattanville,Native Citizen,2008,Percent,0.66292,109
Central Harlem,Native Citizen,2008,Percent,0.79541,110
East Harlem,Native Citizen,2008,Percent,0.75077,111
Upper East Side,Native Citizen,2008,Percent,0.769,108
Upper West Side,Native Citizen,2008,Percent,0.78178,107
Chelsea/Clinton,Native Citizen,2008,Percent,0.77375,104
Midtown Business District,Native Citizen,2008,Percent,0.77375,105
Murray Hill/Stuyvesant,Native Citizen,2008,Percent,0.77329,106
Lower East Side,Native Citizen,2008,Percent,0.64778,103
Battery Park/Tribeca,Native Citizen,2008,Percent,0.76793,101
Greenwich Village,Native Citizen,2008,Percent,0.76793,102
Tottenville,Native Citizen,2008,Percent,0.88437,503
South Beach,Native Citizen,2008,Percent,0.73052,502
St. George,Native Citizen,2008,Percent,0.75051,501
Williamsburg/Greenpoint,Native Citizen,2008,Percent,0.75487,301
Bushwick,Native Citizen,2008,Percent,0.62059,304
Bedford Stuyvesant,Native Citizen,2008,Percent,0.80765,303
Fort Greene/Brooklyn Hts,Native Citizen,2008,Percent,0.82313,302
Park Slope,Native Citizen,2008,Percent,0.84911,306
Crown Heights North,Native Citizen,2008,Percent,0.68089,308
Brownsville,Native Citizen,2008,Percent,0.74844,316
East New York,Native Citizen,2008,Percent,0.64497,305
Canarsie,Native Citizen,2008,Percent,0.6114,318
East Flatbush,Native Citizen,2008,Percent,0.46786,317
Crown Heights South,Native Citizen,2008,Percent,0.55186,309
Sunset Park,Native Citizen,2008,Percent,0.55549,307
Bay Ridge,Native Citizen,2008,Percent,0.63696,310
Borough Park,Native Citizen,2008,Percent,0.65336,312
Flatbush/Midwood,Native Citizen,2008,Percent,0.55627,314
Sheepshead Bay,Native Citizen,2008,Percent,0.54779,315
Bensonhurst,Native Citizen,2008,Percent,0.49624,311
Coney Island,Native Citizen,2008,Percent,0.50613,313
Astoria,Native Citizen,2008,Percent,0.57655,401
Jackson Heights,Native Citizen,2008,Percent,0.37394,403
Flushing,Native Citizen,2008,Percent,0.47776,407
Bayside,Native Citizen,2008,Percent,0.61574,411
Queens Village,Native Citizen,2008,Percent,0.59216,413
Fresh Meadows/Briarwood,Native Citizen,2008,Percent,0.5614,408
Elmhurst/Corona,Native Citizen,2008,Percent,0.32371,404
Rego Park/Forest Hills,Native Citizen,2008,Percent,0.49897,406
Sunnyside/Woodside,Native Citizen,2008,Percent,0.39436,402
Ridgewood/Glendale,Native Citizen,2008,Percent,0.64001,405
Woodhaven,Native Citizen,2008,Percent,0.47251,409
Jamaica/St. Albans,Native Citizen,2008,Percent,0.57834,412
Howard Beach,Native Citizen,2008,Percent,0.54181,410
The Rockaways,Native Citizen,2008,Percent,0.7608,414
Bronx,Native Citizen,2008,Percent,0.6729,36005
Brooklyn,Native Citizen,2008,Percent,0.63321,36047
Manhattan,Native Citizen,2008,Percent,0.71925,36061
Queens,Native Citizen,2008,Percent,0.52613,36081
Staten Island,Native Citizen,2008,Percent,0.79027,36085
New York City,Native Citizen,2008,Percent,0.63643,3651000
Riverdale,Naturalized Citizen,2008,Number,20575,208
Williamsbridge,Naturalized Citizen,2008,Number,32896,212
Throgs Neck,Naturalized Citizen,2008,Number,14517,210
Pelham Parkway,Naturalized Citizen,2008,Number,20187,211
Morrisania,Naturalized Citizen,2008,Number,7393.01713,203
East Tremont,Naturalized Citizen,2008,Number,7717.98287,206
Bedford Park,Naturalized Citizen,2008,Number,18007,207
University Heights,Naturalized Citizen,2008,Number,16944,205
Concourse/Highbridge,Naturalized Citizen,2008,Number,18185,204
Unionport/Soundview,Naturalized Citizen,2008,Number,25938,209
Mott Haven,Naturalized Citizen,2008,Number,8007.57087,201
Hunts Point,Naturalized Citizen,2008,Number,4572.42913,202
Washington Heights,Naturalized Citizen,2008,Number,43973,112
Manhattanville,Naturalized Citizen,2008,Number,15223,109
Central Harlem,Naturalized Citizen,2008,Number,10148,110
East Harlem,Naturalized Citizen,2008,Number,11518,111
Upper East Side,Naturalized Citizen,2008,Number,25033,108
Upper West Side,Naturalized Citizen,2008,Number,21578,107
Chelsea/Clinton,Naturalized Citizen,2008,Number,10867.12306,104
Midtown Business District,Naturalized Citizen,2008,Number,5438.87694,105
Murray Hill/Stuyvesant,Naturalized Citizen,2008,Number,15390,106
Lower East Side,Naturalized Citizen,2008,Number,34227,103
Battery Park/Tribeca,Naturalized Citizen,2008,Number,6572.55884,101
Greenwich Village,Naturalized Citizen,2008,Number,9702.44116,102
Tottenville,Naturalized Citizen,2008,Number,14572,503
South Beach,Naturalized Citizen,2008,Number,26937,502
St. George,Naturalized Citizen,2008,Number,20482,501
Williamsburg/Greenpoint,Naturalized Citizen,2008,Number,18224,301
Bushwick,Naturalized Citizen,2008,Number,15305,304
Bedford Stuyvesant,Naturalized Citizen,2008,Number,13009,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2008,Number,9502,302
Park Slope,Naturalized Citizen,2008,Number,10156,306
Crown Heights North,Naturalized Citizen,2008,Number,18826,308
Brownsville,Naturalized Citizen,2008,Number,14605,316
East New York,Naturalized Citizen,2008,Number,34062,305
Canarsie,Naturalized Citizen,2008,Number,56228,318
East Flatbush,Naturalized Citizen,2008,Number,45357,317
Crown Heights South,Naturalized Citizen,2008,Number,28123,309
Sunset Park,Naturalized Citizen,2008,Number,22902,307
Bay Ridge,Naturalized Citizen,2008,Number,25776,310
Borough Park,Naturalized Citizen,2008,Number,33518,312
Flatbush/Midwood,Naturalized Citizen,2008,Number,40233,314
Sheepshead Bay,Naturalized Citizen,2008,Number,47632,315
Bensonhurst,Naturalized Citizen,2008,Number,53075,311
Coney Island,Naturalized Citizen,2008,Number,39516,313
Astoria,Naturalized Citizen,2008,Number,38669,401
Jackson Heights,Naturalized Citizen,2008,Number,48518,403
Flushing,Naturalized Citizen,2008,Number,69421,407
Bayside,Naturalized Citizen,2008,Number,33158,411
Queens Village,Naturalized Citizen,2008,Number,54390,413
Fresh Meadows/Briarwood,Naturalized Citizen,2008,Number,41137,408
Elmhurst/Corona,Naturalized Citizen,2008,Number,35798,404
Rego Park/Forest Hills,Naturalized Citizen,2008,Number,41257,406
Sunnyside/Woodside,Naturalized Citizen,2008,Number,37848,402
Ridgewood/Glendale,Naturalized Citizen,2008,Number,30487,405
Woodhaven,Naturalized Citizen,2008,Number,44170,409
Jamaica/St. Albans,Naturalized Citizen,2008,Number,50331,412
Howard Beach,Naturalized Citizen,2008,Number,38334,410
The Rockaways,Naturalized Citizen,2008,Number,16006,414
Bronx,Naturalized Citizen,2008,Number,194940,36005
Brooklyn,Naturalized Citizen,2008,Number,526049,36047
Manhattan,Naturalized Citizen,2008,Number,209671,36061
Queens,Naturalized Citizen,2008,Number,579524,36081
Staten Island,Naturalized Citizen,2008,Number,61991,36085
New York City,Naturalized Citizen,2008,Number,1572175,3651000
Riverdale,Naturalized Citizen,2008,Percent,0.16717,208
Williamsbridge,Naturalized Citizen,2008,Percent,0.22605,212
Throgs Neck,Naturalized Citizen,2008,Percent,0.1244,210
Pelham Parkway,Naturalized Citizen,2008,Percent,0.15467,211
Morrisania,Naturalized Citizen,2008,Percent,0.09882,203
East Tremont,Naturalized Citizen,2008,Percent,0.09882,206
Bedford Park,Naturalized Citizen,2008,Percent,0.14673,207
University Heights,Naturalized Citizen,2008,Percent,0.13449,205
Concourse/Highbridge,Naturalized Citizen,2008,Percent,0.13116,204
Unionport/Soundview,Naturalized Citizen,2008,Percent,0.14134,209
Mott Haven,Naturalized Citizen,2008,Percent,0.0826,201
Hunts Point,Naturalized Citizen,2008,Percent,0.0826,202
Washington Heights,Naturalized Citizen,2008,Percent,0.21636,112
Manhattanville,Naturalized Citizen,2008,Percent,0.1234,109
Central Harlem,Naturalized Citizen,2008,Percent,0.08062,110
East Harlem,Naturalized Citizen,2008,Percent,0.09097,111
Upper East Side,Naturalized Citizen,2008,Percent,0.10779,108
Upper West Side,Naturalized Citizen,2008,Percent,0.10386,107
Chelsea/Clinton,Naturalized Citizen,2008,Percent,0.11234,104
Midtown Business District,Naturalized Citizen,2008,Percent,0.11234,105
Murray Hill/Stuyvesant,Naturalized Citizen,2008,Percent,0.1032,106
Lower East Side,Naturalized Citizen,2008,Percent,0.20277,103
Battery Park/Tribeca,Naturalized Citizen,2008,Percent,0.10663,101
Greenwich Village,Naturalized Citizen,2008,Percent,0.10663,102
Tottenville,Naturalized Citizen,2008,Percent,0.08779,503
South Beach,Naturalized Citizen,2008,Percent,0.18945,502
St. George,Naturalized Citizen,2008,Percent,0.11428,501
Williamsburg/Greenpoint,Naturalized Citizen,2008,Percent,0.12177,301
Bushwick,Naturalized Citizen,2008,Percent,0.12004,304
Bedford Stuyvesant,Naturalized Citizen,2008,Percent,0.09222,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2008,Percent,0.08154,302
Park Slope,Naturalized Citizen,2008,Percent,0.08596,306
Crown Heights North,Naturalized Citizen,2008,Percent,0.15382,308
Brownsville,Naturalized Citizen,2008,Percent,0.12868,316
East New York,Naturalized Citizen,2008,Percent,0.21716,305
Canarsie,Naturalized Citizen,2008,Percent,0.2717,318
East Flatbush,Naturalized Citizen,2008,Percent,0.30852,317
Crown Heights South,Naturalized Citizen,2008,Percent,0.25147,309
Sunset Park,Naturalized Citizen,2008,Percent,0.15508,307
Bay Ridge,Naturalized Citizen,2008,Percent,0.21234,310
Borough Park,Naturalized Citizen,2008,Percent,0.19683,312
Flatbush/Midwood,Naturalized Citizen,2008,Percent,0.23311,314
Sheepshead Bay,Naturalized Citizen,2008,Percent,0.32817,315
Bensonhurst,Naturalized Citizen,2008,Percent,0.2899,311
Coney Island,Naturalized Citizen,2008,Percent,0.37644,313
Astoria,Naturalized Citizen,2008,Percent,0.21666,401
Jackson Heights,Naturalized Citizen,2008,Percent,0.25513,403
Flushing,Naturalized Citizen,2008,Percent,0.2727,407
Bayside,Naturalized Citizen,2008,Percent,0.26529,411
Queens Village,Naturalized Citizen,2008,Percent,0.26737,413
Fresh Meadows/Briarwood,Naturalized Citizen,2008,Percent,0.2863,408
Elmhurst/Corona,Naturalized Citizen,2008,Percent,0.24963,404
Rego Park/Forest Hills,Naturalized Citizen,2008,Percent,0.35313,406
Sunnyside/Woodside,Naturalized Citizen,2008,Percent,0.28486,402
Ridgewood/Glendale,Naturalized Citizen,2008,Percent,0.18165,405
Woodhaven,Naturalized Citizen,2008,Percent,0.28339,409
Jamaica/St. Albans,Naturalized Citizen,2008,Percent,0.2259,412
Howard Beach,Naturalized Citizen,2008,Percent,0.27357,410
The Rockaways,Naturalized Citizen,2008,Percent,0.1357,414
Bronx,Naturalized Citizen,2008,Percent,0.14005,36005
Brooklyn,Naturalized Citizen,2008,Percent,0.20576,36047
Manhattan,Naturalized Citizen,2008,Percent,0.12826,36061
Queens,Naturalized Citizen,2008,Percent,0.25274,36081
Staten Island,Naturalized Citizen,2008,Percent,0.12719,36085
New York City,Naturalized Citizen,2008,Percent,0.18798,3651000
Riverdale,Non-Citizens,2008,Number,21259,208
Williamsbridge,Non-Citizens,2008,Number,24140,212
Throgs Neck,Non-Citizens,2008,Number,6317,210
Pelham Parkway,Non-Citizens,2008,Number,23938,211
Morrisania,Non-Citizens,2008,Number,13089.81359,203
East Tremont,Non-Citizens,2008,Number,13665.18641,206
Bedford Park,Non-Citizens,2008,Number,31914,207
University Heights,Non-Citizens,2008,Number,32111,205
Concourse/Highbridge,Non-Citizens,2008,Number,37373,204
Unionport/Soundview,Non-Citizens,2008,Number,26726,209
Mott Haven,Non-Citizens,2008,Number,18984.5629,201
Hunts Point,Non-Citizens,2008,Number,10840.4371,202
Washington Heights,Non-Citizens,2008,Number,55595,112
Manhattanville,Non-Citizens,2008,Number,26360,109
Central Harlem,Non-Citizens,2008,Number,15605,110
East Harlem,Non-Citizens,2008,Number,20037,111
Upper East Side,Non-Citizens,2008,Number,28615,108
Upper West Side,Non-Citizens,2008,Number,23759,107
Chelsea/Clinton,Non-Citizens,2008,Number,11020.40641,104
Midtown Business District,Non-Citizens,2008,Number,5515.59359,105
Murray Hill/Stuyvesant,Non-Citizens,2008,Number,18420,106
Lower East Side,Non-Citizens,2008,Number,25226,103
Battery Park/Tribeca,Non-Citizens,2008,Number,7732.39841,101
Greenwich Village,Non-Citizens,2008,Number,11414.60159,102
Tottenville,Non-Citizens,2008,Number,4622,503
South Beach,Non-Citizens,2008,Number,11380,502
St. George,Non-Citizens,2008,Number,24233,501
Williamsburg/Greenpoint,Non-Citizens,2008,Number,18464,301
Bushwick,Non-Citizens,2008,Number,33068,304
Bedford Stuyvesant,Non-Citizens,2008,Number,14124,303
Fort Greene/Brooklyn Hts,Non-Citizens,2008,Number,11108,302
Park Slope,Non-Citizens,2008,Number,7671,306
Crown Heights North,Non-Citizens,2008,Number,20231,308
Brownsville,Non-Citizens,2008,Number,13947,316
East New York,Non-Citizens,2008,Number,21626,305
Canarsie,Non-Citizens,2008,Number,24192,318
East Flatbush,Non-Citizens,2008,Number,32876,317
Crown Heights South,Non-Citizens,2008,Number,21994,309
Sunset Park,Non-Citizens,2008,Number,42742,307
Bay Ridge,Non-Citizens,2008,Number,18293,310
Borough Park,Non-Citizens,2008,Number,25512,312
Flatbush/Midwood,Non-Citizens,2008,Number,36352,314
Sheepshead Bay,Non-Citizens,2008,Number,18004,315
Bensonhurst,Non-Citizens,2008,Number,39154,311
Coney Island,Non-Citizens,2008,Number,12328,313
Astoria,Non-Citizens,2008,Number,36909,401
Jackson Heights,Non-Citizens,2008,Number,70541,403
Flushing,Non-Citizens,2008,Number,63525,407
Bayside,Non-Citizens,2008,Number,14870,411
Queens Village,Non-Citizens,2008,Number,28575,413
Fresh Meadows/Briarwood,Non-Citizens,2008,Number,21883,408
Elmhurst/Corona,Non-Citizens,2008,Number,61186,404
Rego Park/Forest Hills,Non-Citizens,2008,Number,17279,406
Sunnyside/Woodside,Non-Citizens,2008,Number,42619,402
Ridgewood/Glendale,Non-Citizens,2008,Number,29932,405
Woodhaven,Non-Citizens,2008,Number,38047,409
Jamaica/St. Albans,Non-Citizens,2008,Number,43618,412
Howard Beach,Non-Citizens,2008,Number,25869,410
The Rockaways,Non-Citizens,2008,Number,12209,414
Bronx,Non-Citizens,2008,Number,260358,36005
Brooklyn,Non-Citizens,2008,Number,411686,36047
Manhattan,Non-Citizens,2008,Number,249300,36061
Queens,Non-Citizens,2008,Number,507062,36081
Staten Island,Non-Citizens,2008,Number,40235,36085
New York City,Non-Citizens,2008,Number,1468641,3651000
